Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
75,ICARS:24.08.19.102,ERY 500,Erythromycin,Tablet,500mg,010324,09/2026,CBF,Laos,0.5856 g        (-1.0 ; 1.8),97.3%,90.0 - 120.0%,1
76,ICARS:24.08.19.103,METRONIDAZOL,Metronidazole,Tablet,250mg,010123,07/25,CBF,Laos,0.4622 g        (-2.3 ; 3.0),101.3%,93.0 - 107.0%,1
77,ICARS:24.08.19.104,CLAMOXYL,Amoxicillin,Capsule,500mg,A59w,08/2025,Glaxo wellcome,France,0.5756 g        (-0.8 ; 0.4),102.9%,90.0 - 110.0%,1
78,ICARS:24.08.19.105,AZITROMICIN,Azithromycin,Tablet,500mg,240501,04/2026,Zhangfeng,CHINA,0.7819 g         (-4.0 ; 4.2),99.9%,90.0 - 110.0%,1
79,ICARS:24.08.19.106,GANO SPEC500,Tetracycline,capsules,500mg,42401,9/1/27,PICCO,Thailand,0.5091 g        (-4.1; 3.7),97.1%,90.0 - 120.0%,1
80,ICARS:24.08.19.107,VEJAK,Penicillin,Tablets,"400,000 IU",2205006,2025/05/04,North china,CHINA,0.2933 g        (-1.5 ; 1.2),99.5%,90.0 - 120.0%,1
81,ICARS:24.08.19.108,PENICILLINE  V,Penicillin,Tablets,"1,000,000 IU",316,290526,THANH HOA,Vietnam,0.7241 g        (-1.7 ; 2.2),99.4%,90.0 - 120.0%,1
82,ICARS:24.08.19.109,AZITHROMAX,Azithromycin,Tablets,250mg,081123,11.2026,Coduphar,Laos,0.3429 g        (-2.7 ; 3.8),98.1%,90.0 - 110.0%,1
83,ICARS:24.08.19.110,CEFIXIME,Cefixime,Capsules,200mg,006-030524,03/05/2024,TV.pharm,Vietnam,0.4133 g        (-1.7 ; 1.3),106.3%,90.0 - 110.0%,1
84,ICARS:24.08.19.111,N.L.DOXY,Doxycycline,Tablet,100mg,61173,20/01/2026,NEW LIFE,Thailand,0.2799g        (-2.9 ; 1.7),105.2%,90.0 - 120.0%,1
85,ICARS:24.08.19.112,ERY 250,Erythromycin,Tablet,250 mg,061223,06.2026,CBF,Laos,0.3886 g        (-3.0 ; 1.8),95.4%,90.0 - 120.0%,1
86,ICARS:24.08.19.113,PENICILLIN V KALI,Penicillin,Tablet,"1,000,000 IU",311,140326,THEPHACO,Vietnam,0.7184 g        (-3.0 ; 1.2),99.3%,90.0 - 120.0%,1
87,ICARS:24.08.19.114,PENICILLIN,Penicillin,Tablet,"500,000IU",120476,16/09/2025,A.N.B,Thailand,0.5463g        (-3.6 ; 4.8),98.6%,90.0 - 120.0%,1
88,ICARS:24.08.19.115,AMPICILLIN,Ampicillin,Tablet,250mg,300729,22/11/2026,CODUPHA,Laos,0.3578 g        (-5.0 ;3.0),96.2%,90.0 - 110.0%,1
89,ICARS:24.08.19.116,LEOMYCIN,Tetracycline,Tablet,250mg,313673,22/11/2026,Coduphar,Laos,0.7284 g        (-3.5 ; 2.1),94.2%,90.0 - 120.0%,1
90,ICARS:24.08.19.117,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,213301,18/02/2025,Coduphar,Laos,03870 g        (-5.2; 7.2),99.5%,90.0 - 110.0%,1
91,ICARS:24.08.19.118,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446022,04/2027,Coduphar,Laos,0.'5786 g        (-1.1 ; 0.6),101.5%,90.0 - 110.0%,1
92,ICARS:24.08.19.119,AMOX-- 500,Amoxicillin,Capsules,500mg,70623060,06/2026,Alliance,Laos,0.4879g        (-4.5 ; 4.9),92.1%,90.0 - 110.0%,1
93,ICARS:24.08.19.120,AMPICILLIN,Ampicillin,Capsules,500mg,2445011,05.2027,KPN,Laos,0.5549 g        (-2.0 ; 3.0),95.1%,90.0 - 110.0%,1
